,2005,2009,2014,2019,2024,dwa_title,change,pct_change
4.A.1.a.1.I01.D01,0.0024995392735619112,0.0027570590847168556,0.0024633407704873376,0.0024733517615860606,0.002362739780682888,Review art or design materials.,-0.00013679949287902313,-5.4729883353295
4.A.1.a.1.I01.D02,0.0009201570107568863,0.0010046878589920682,0.0010304805201022066,0.0009808334360319351,0.0008856882070937934,Study details of musical compositions.,-3.4468803663092844e-05,-3.745969792127119
4.A.1.a.1.I01.D03,4.6003222447054876e-05,6.607087164837306e-05,7.56378493842585e-05,8.476049268168073e-05,7.048247491032921e-05,Review production information to determine costume or makeup requirements.,2.4479252463274333e-05,53.212038551098274
4.A.1.a.1.I01.D04,0.0016659275605675928,0.0017727150816843145,0.002020246071729553,0.0020189543505430172,0.0019102144214771322,Study scripts to determine project requirements.,0.00024428686090953943,14.663714479056294
4.A.1.a.1.I01.D05,0.0,0.0,0.0,0.0,0.0,Review audio or video recordings.,0.0,
4.A.1.a.1.I02.D01,0.015989035497548917,0.014983436555072218,0.007791550264161782,0.005445198243943664,0.004484181598353306,Read materials to determine needed actions.,-0.011504853899195611,-71.95464605078448
4.A.1.a.1.I02.D02,0.023988227618020712,0.0225477114748493,0.02089401893705994,0.023352530362168472,0.023830997547048517,Read maps to determine routes.,-0.00015723007097219466,-0.6554468028062168
4.A.1.a.1.I02.D03,0.005189478202201472,0.004717814853366526,0.004634266296677199,0.004435643020336353,0.003996158301731735,Review customer information.,-0.001193319900469737,-22.994988204469358
4.A.1.a.1.I02.D04,0.03412254314329374,0.028744002062008445,0.02898607633255918,0.01724626271397634,0.014745359139747092,Read work orders or other instructions to determine product specifications or materials requirements.,-0.01937718400354665,-56.78704521575185
4.A.1.a.1.I02.D05,0.007221672867845515,0.006874356905516601,0.017312634910921953,0.017117717104909374,0.016629683536621368,Read technical information needed to perform maintenance or repairs.,0.009408010668775852,130.27467237771185
4.A.1.a.1.I02.D06,0.013818275793668976,0.011761641678252398,0.01077541231571579,0.011680713936224987,0.01060178171775546,Study blueprints or other instructions to determine equipment setup requirements.,-0.0032164940759135154,-23.277101455647557
4.A.1.a.1.I02.D07,0.00024251195736676813,0.00027650846425724486,0.00658475178434627,0.013031340387289892,0.016291059617099004,Read documents to gather technical information.,0.016048547659732237,6617.631490830316
4.A.1.a.1.I02.D08,0.010604622111296142,0.011065751155820312,0.01104644794267605,0.011540773270130832,0.012410489640506374,Review technical documents to plan work.,0.0018058675292102321,17.02906063278394
4.A.1.a.1.I02.D09,0.0401193455028055,0.036156444625610525,0.03024508877822216,0.032783969308896814,0.032538700269424944,Review blueprints or specifications to determine work requirements.,-0.007580645233380555,-18.895236545796713
4.A.1.a.1.I02.D10,0.0388649477752351,0.0363119164789526,0.036433167742092654,0.03955520877812755,0.0390676070686368,Review work orders or schedules to determine operations or procedures.,0.00020265929340169964,0.5214449137400744
4.A.1.a.1.I02.D11,0.031620597262521324,0.028350189804443284,0.02809894997970214,0.02591376454986832,0.022668146725296937,Review blueprints or other instructions to determine operational methods or sequences.,-0.008952450537224387,-28.31208551470146
4.A.1.a.1.I02.D12,0.008877511190492125,0.008617769368983981,0.0079761304664317,0.007743253443316967,0.007624282202735028,Evaluate reports or designs to determine work needs.,-0.001253228987757097,-14.116895612582429
4.A.1.a.1.I02.D13,0.011151199633529259,0.010267394790069138,0.009859666236064706,0.009215010911547587,0.008911815862517368,Read work orders or descriptions of problems to determine repairs or modifications needed.,-0.002239383771011891,-20.081998749968978
4.A.1.a.1.I02.D14,0.013846322023852995,0.014127314836848807,0.013666941677255682,0.014239216432171742,0.014633951356824314,"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",0.0007876293329713187,5.688364979627609
4.A.1.a.1.I02.D15,0.003459868112371155,0.003381839431730779,0.003153706501635328,0.0032585180197607457,0.0036194694451870406,Review details of technical drawings or specifications.,0.00015960133281588563,4.612931118536362
4.A.1.a.1.I02.D16,0.020174310560257234,0.02205479290981158,0.02005885101677542,0.02063996045134728,0.02388043062518542,Read work orders to determine material or setup requirements.,0.0037061200649281846,18.370491788845197
4.A.1.a.1.I03.D01,0.01608696589865351,0.018433399908135358,0.01791910055012907,0.016684704937876257,0.018532930387737956,Collect evidence for legal proceedings.,0.002445964489084445,15.204635258716959
4.A.1.a.1.I03.D02,0.0011390657050974996,0.0014068056357333671,0.0012530500025808862,0.0011537885481706133,0.001144735138814171,Examine crime scenes to obtain evidence.,5.669433716671331e-06,0.4977266624128632
4.A.1.a.1.I03.D03,0.008699144571467024,0.008919847633850907,0.00807135920022855,0.003682008289825939,0.008304023698540367,Investigate crimes committed within organizations.,-0.00039512087292665685,-4.542065828203883
4.A.1.a.1.I03.D04,0.03249817583801534,0.036178841531254044,0.032857746159036756,0.023594246058149287,0.03300699434049929,Investigate legal issues.,0.0005088185024839514,1.5656832710245587
4.A.1.a.1.I03.D05,0.0011013930460714405,0.0013216973942880052,0.002965122944724575,0.00416606406847399,0.0043189401665396,Examine records or other types of data to investigate criminal activities.,0.0032175471204681596,292.1343231596413
4.A.1.a.1.I03.D06,0.0034040533374504827,0.0032217948768198186,0.0025142770699600704,0.001990466707975049,0.00191806210598848,Conduct hearings to investigate legal issues.,-0.0014859912314620027,-43.65358248396185
4.A.1.a.1.I03.D07,0.019514900184577518,0.02070715243315317,0.020982688983466485,0.01846756307261625,0.023161964106744645,Investigate illegal or suspicious activities.,0.0036470639221671264,18.688611715520707
4.A.1.a.1.I04.D01,0.00784683537168336,0.008216584796644496,0.007419067927047635,0.007093813241103095,0.006969183903152239,Obtain property information.,-0.0008776514685311203,-11.184782488215248
4.A.1.a.1.I04.D02,0.001195250727281327,0.0014119382599433396,0.0012289446969775695,0.0011572226749459302,0.0011533895946304236,Use databases to locate investigation details or other information.,-4.1861132650903524e-05,-3.502288824882734
4.A.1.a.1.I04.D03,0.002713912438928871,0.002667004859941884,0.002102272252987482,0.0018798722161426904,0.0016210235800916712,Search information sources to find specific data.,-0.0010928888588371997,-40.269864390633835
4.A.1.a.1.I04.D04,0.007542306997738067,0.007991215933606613,0.007027846483104055,0.005475480998235093,0.006041250216819788,Gather financial records.,-0.0015010567809182786,-19.901825547122975
4.A.1.a.1.I04.D05,0.0008200051260733584,0.0007184740689559663,0.0023616385270585037,0.0035888966252133744,0.0036563608966749656,Retrieve information from electronic sources.,0.0028363557706016073,345.89488289953255
4.A.1.a.1.I04.D06,0.004781280594572675,0.005206347357715724,0.005942937375438176,0.006416119541328662,0.005923461606303671,Gather information in order to provide services to clients.,0.0011421810117309963,23.888600326605143
4.A.1.a.1.I04.D07,0.0758692179294829,0.07356879573518123,0.07024524550529745,0.06314438169444966,0.05295375476866016,"Search files, databases or reference materials to obtain needed information.",-0.022915463160822734,-30.20390058867043
4.A.1.a.1.I04.D08,0.00022177811063006737,0.00029937197210166776,0.00033474859018033326,0.0003647979215415982,0.0026467232800094173,Collect archival data.,0.00242494516937935,1093.4105094908273
4.A.1.a.1.I05.D01,0.009204439523858318,0.010541196961561123,0.010192966804353673,0.010755060673605528,0.01348877616093474,Evaluate information related to legal matters in public or personal records.,0.0042843366370764226,46.546415194224814
4.A.1.a.1.I05.D02,0.00794115586197219,0.008473682609344026,0.008427913296537677,0.008629804489699298,0.008992052935932457,Research relevant legal materials to aid decision making.,0.001050897073960267,13.233553052304355
4.A.1.a.1.I06.D01,0.01331399902125136,0.01548923334085496,0.017538611503733256,0.011328325700076011,0.02164846113874303,Gather organizational performance information.,0.008334462117491668,62.59923937344804
4.A.1.a.1.I06.D02,0.0033006617892143457,0.003213489357643681,0.0031352229280808414,0.002910968780431534,0.0025026045878150396,Gather information about work conditions or locations.,-0.0007980572013993061,-24.178702707655095
4.A.1.a.1.I06.D03,0.002695400075771102,0.0034803858165622504,0.0029922946496272534,0.0033338346638103057,0.0038164683292756406,Gather physical survey data.,0.0011210682535045383,41.59190554240161
4.A.1.a.1.I06.D04,0.007201957201082492,0.007395084961728355,0.006584070362279745,0.006368275911481636,0.005921921406539761,Collect data about project sites.,-0.0012800357945427308,-17.77344350713907
4.A.1.a.1.I07.D01,0.01481294506613588,0.016390148870365405,0.01420322084361074,0.0029013688351278077,0.011376795570385479,Obtain information about goods or services.,-0.003436149495750402,-23.19693673613791
4.A.1.a.1.I08.D01,0.0004247661726549996,0.0004744411178818201,0.0004746956470928746,0.0003886026639614073,0.0003287959781717022,Research hydrologic features or processes.,-9.597019448329738e-05,-22.593652852211836
4.A.1.a.1.I08.D02,0.00034738449465552705,0.00040771700315217783,0.0004186486821212056,0.000338339535704499,0.0003580597736859804,Research geological features or processes.,1.067527903045334e-05,3.073044190138407
