,Low AI Exposure,Medium AI Exposure,High AI Exposure
Analyzing Data or Information,0.04189751698249822,0.14888154300195078,0.15308628785082234
Assisting and Caring for Others,0.02599455326576905,0.2290148494980988,-0.03546019594975247
Coaching and Developing Others,0.023720856589661388,0.18023038765273958,0.14250791363854987
Communicating with People Outside the Organization,0.07490782449235,0.06820579887182676,0.02516100941503696
"Communicating with Supervisors, Peers, or Subordinates",0.043349382525090796,0.09885440450525396,0.04095551291052413
Controlling Machines and Processes,-0.0019924642962614314,-0.032927463114598154,-0.038030491383252096
Coordinating the Work and Activities of Others,0.028315879902669927,0.14296259325073457,0.11588148220586847
Developing Objectives and Strategies,0.019477862510115074,0.13947707199687587,0.16652099142604637
Developing and Building Teams,0.021292789366423204,0.1670319221249752,0.1517562438091966
Documenting/Recording Information,0.0474839341857467,0.1962617060207803,0.02212024269597146
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",0.0037538046983098816,0.010691502111972007,0.02906989579073982
Establishing and Maintaining Interpersonal Relationships,0.014203355648169325,0.11002977414044857,0.05112714229642057
"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.030460320695143484,0.055334639766026594,0.08958710531169123
Evaluating Information to Determine Compliance with Standards,0.05059400206994136,0.13990267405698686,0.07032431909043302
Getting Information,0.028470524884169013,0.07614139642423279,0.03717006064149153
"Guiding, Directing, and Motivating Subordinates",0.01808878435895034,0.19036046856360356,0.153248689327258
Handling and Moving Objects,0.0034972064888281196,-0.0227767269759096,-0.07377219776235111
"Identifying Objects, Actions, and Events",0.037106771171457886,0.11753544811119587,0.024712905872644075
"Inspecting Equipment, Structures, or Materials",0.04135891822380344,0.06587143588151356,-0.007408657621827963
Interpreting the Meaning of Information for Others,0.02911358492130045,0.17829714050884693,0.1564426916572268
"Judging the Qualities of Objects, Services, or People",0.016793397701373003,0.1015013284973203,0.09124558023860052
Making Decisions and Solving Problems,0.059164900393642306,0.12342623531777086,0.11501208817808672
"Monitoring Processes, Materials, or Surroundings",0.026898954295235367,0.10257266975875368,0.007532275586123571
Monitoring and Controlling Resources,0.03923101887598213,0.10633038074505485,0.1206530702796389
"Operating Vehicles, Mechanized Devices, or Equipment",0.05302097907142045,-0.012411484617668833,-0.007289531849948405
"Organizing, Planning, and Prioritizing Work",0.05877011527990916,0.15221478715885617,0.05338609121547977
Performing Administrative Activities,0.03179903593849387,0.05801438268028747,-0.04304063359005994
Performing General Physical Activities,0.009375561272649602,0.03782599518440488,-0.03752418314957051
Performing for or Working Directly with the Public,0.08161316822336362,-0.01774579077184324,-0.022464453008266272
Processing Information,0.027655466971300058,0.12660453442648256,0.04324477785164582
Providing Consultation and Advice to Others,-0.0014415013515249875,0.18046005222989336,0.21407956657250704
Repairing and Maintaining Electronic Equipment,0.05495509224778239,-0.026986798815081148,-0.005526221788636265
Repairing and Maintaining Mechanical Equipment,0.037816227374841915,-0.02395856556849152,-0.007933341717846432
Resolving Conflicts and Negotiating with Others,0.04667126320245352,0.1038533630196894,0.06762275059283951
Scheduling Work and Activities,0.06691816169761111,0.11025850908783319,0.05308354989938335
Selling or Influencing Others,0.03636633735832406,-0.03154894225886418,0.13178058795534708
Staffing Organizational Units,0.015541502955843445,0.15553406871222597,0.15562645443669254
Thinking Creatively,0.07037669801565682,0.10234199818767564,0.10069133043227696
Training and Teaching Others,0.02330485507793867,0.14788370533350426,0.12788056396845704
Updating and Using Relevant Knowledge,0.05489116495442703,0.1395582535093971,0.06691418581766007
Working with Computers,0.053681050956233545,0.10495441680161877,0.02140057495292158
