,Q1_shrinking,Q5_growing,difference,p_value,significant
"Guiding, Directing, and Motivating Subordinates",2.4797477496603255,3.219627504137399,0.7398797544770734,7.69422816335619e-10,True
Staffing Organizational Units,1.8282179645040761,2.5662063456615263,0.7379883811574501,1.3381017177893874e-10,True
Coaching and Developing Others,2.6659073220957885,3.3659038150920693,0.6999964929962808,9.0049349637545e-12,True
Developing and Building Teams,2.6895195949388584,3.370171410107171,0.6806518151683125,2.534528070704454e-14,True
Providing Consultation and Advice to Others,2.4503594068444294,3.1204626020103885,0.6701031951659591,1.0732694646466963e-14,True
Selling or Influencing Others,2.2682906122622284,2.9233798582114865,0.6550892459492581,1.369696830956483e-08,True
Monitoring and Controlling Resources,2.331087444802989,2.945079695678171,0.613992250875182,4.222462202484083e-06,True
Coordinating the Work and Activities of Others,2.7833439198369563,3.3875883296855656,0.6042444098486093,7.226635250222304e-09,True
Developing Objectives and Strategies,2.7221117208729613,3.2891313829274016,0.5670196620544403,2.0680619154679742e-11,True
Training and Teaching Others,2.87982080078125,3.4168795796451588,0.537058778863909,1.658108072882991e-09,True
Analyzing Data or Information,3.0156656228770378,3.549855040506359,0.5341894176293214,2.612983886932571e-10,True
Resolving Conflicts and Negotiating with Others,2.861754256538723,3.3545992780200526,0.4928450214813296,1.9151915826607828e-10,True
Interpreting the Meaning of Information for Others,2.8870662788722834,3.372724950974105,0.4856586721018217,3.3249417094182092e-15,True
Performing for or Working Directly with the Public,2.705749554177989,3.189190516282498,0.48344096210450926,1.2396900246668633e-07,True
Communicating with People Outside the Organization,3.0148039763077445,3.472456009222836,0.4576520329150915,4.2722106120003243e-11,True
Working with Computers,3.4534304305366845,3.853897392463675,0.4004669619269903,3.08716026385994e-06,True
Making Decisions and Solving Problems,3.650341690726902,4.03992012295316,0.3895784322262581,7.217931372799119e-12,True
Scheduling Work and Activities,2.986230840268343,3.3598513818122777,0.37362054154393487,5.2794999641123746e-11,True
Establishing and Maintaining Interpersonal Relationships,3.5703086149796186,3.9390998518059637,0.36879123682634507,1.9180698523194348e-14,True
Thinking Creatively,3.063454335088315,3.42444585266169,0.3609915175733751,2.8169213215282398e-08,True
"Judging the Qualities of Objects, Services, or People",3.0823414678158976,3.4386067757188057,0.3562653079029081,0.0010263831161346645,True
Documenting/Recording Information,3.3436608568274453,3.6574416000168437,0.3137807431893984,1.0748684976618795e-10,True
Assisting and Caring for Others,2.8082585979959243,3.1022309685803067,0.2939723705843824,9.710437200262508e-08,True
"Organizing, Planning, and Prioritizing Work",3.595654965608017,3.867934555114884,0.27227958950686704,1.0445181382857337e-09,True
Updating and Using Relevant Knowledge,3.4955179496433417,3.765403472182224,0.2698855225388823,6.371174801673367e-13,True
Evaluating Information to Determine Compliance with Standards,3.360556438943614,3.5915167036825895,0.23096026473897524,7.873588977286615e-06,True
Getting Information,4.0462830651324735,4.262221048699332,0.21593798356685845,2.2363754034725908e-07,True
"Estimating the Quantifiable Characteristics of Products, Events, or Information",2.834501974354619,3.0379969485056817,0.20349497415106255,0.23922255366341283,False
Performing Administrative Activities,2.9139091478430705,3.101307531284351,0.18739838344128046,1.8810671036755106e-07,True
"Identifying Objects, Actions, and Events",3.642180802055028,3.827978382234712,0.18579758017968429,1.159685047696853e-06,True
"Communicating with Supervisors, Peers, or Subordinates",3.9501429708729616,4.134529036821113,0.18438606594815132,1.065402285860423e-08,True
Processing Information,3.511564134680706,3.682271346628519,0.1707072119478128,5.567761519416316e-05,True
"Monitoring Processes, Materials, or Surroundings",3.4950548573369566,3.5380016468397866,0.04294678950282993,0.28646623893557976,False
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",1.9661656759510875,1.8280994810716897,-0.13806619487939775,0.02045074973952945,True
"Operating Vehicles, Mechanized Devices, or Equipment",2.2743163213315216,2.078194556820692,-0.19612176451082952,0.0018620289032190724,True
"Inspecting Equipment, Structures, or Materials",3.1029922724184784,2.894690874411822,-0.2083013980066566,0.004220997831480545,True
Repairing and Maintaining Electronic Equipment,2.089892928413723,1.8518252063838212,-0.2380677220299019,0.010842355053306408,True
Performing General Physical Activities,2.966432426120924,2.7241546514427695,-0.2422777746781546,0.006146418817546907,True
Repairing and Maintaining Mechanical Equipment,2.223870244565218,1.8309757003399165,-0.39289454422530157,1.6223680691131197e-05,True
Handling and Moving Objects,3.1145234587296198,2.6096028559780486,-0.5049206027515711,1.3667527634906286e-06,True
Controlling Machines and Processes,2.8451213272758147,2.33720757815575,-0.5079137491200645,9.387861848456632e-07,True
