,management,non_management,difference,p_value,significant
Staffing Organizational Units,3.2843939393939396,2.0792600782778865,1.2051338611160531,2.8545887590136884e-17,True
"Guiding, Directing, and Motivating Subordinates",3.8901010101010103,2.8206287997390738,1.0694722103619365,1.5223595371435783e-17,True
Monitoring and Controlling Resources,3.4926767676767674,2.535771020874103,0.9569057468026645,5.555821406571177e-16,True
Developing and Building Teams,3.890959595959596,2.979170694716243,0.9117889012433529,5.917511512806357e-16,True
Coordinating the Work and Activities of Others,3.9489393939393937,3.0450671395955644,0.9038722543438293,3.416676098400938e-17,True
Resolving Conflicts and Negotiating with Others,3.8144949494949496,2.969228506196999,0.8452664432979504,4.503763936338726e-13,True
Coaching and Developing Others,3.797777777777778,3.015334262883236,0.7824435148945423,8.04602530731157e-13,True
Selling or Influencing Others,3.1718686868686867,2.404675407697326,0.7671932791713609,9.367754362279762e-11,True
Performing Administrative Activities,3.50979797979798,2.7512277560339204,0.7585702237640595,7.765580928796852e-11,True
Developing Objectives and Strategies,3.7694949494949497,3.024610812133072,0.7448841373618778,2.9288537542953305e-12,True
Communicating with People Outside the Organization,3.896868686868687,3.1662461839530334,0.7306225029156534,2.6695576541575612e-09,True
Working with Computers,4.214191919191919,3.5023000326157865,0.7118918865761321,4.0182439795943806e-05,True
Scheduling Work and Activities,3.797727272727273,3.129100130463144,0.6686271422641288,1.949246657308346e-12,True
Providing Consultation and Advice to Others,3.4706565656565656,2.8636689171559033,0.6069876485006622,7.241786442086246e-09,True
Establishing and Maintaining Interpersonal Relationships,4.206010101010101,3.635065900195695,0.5709442008144059,7.817058700487523e-10,True
"Organizing, Planning, and Prioritizing Work",4.171060606060607,3.645487785388128,0.5255728206724788,5.613900124311965e-12,True
"Communicating with Supervisors, Peers, or Subordinates",4.437979797979797,3.9556184931506846,0.48236130482911266,6.673584287413557e-13,True
Analyzing Data or Information,3.8114141414141414,3.3403635844748862,0.4710505569392551,3.318346090870358e-05,True
Thinking Creatively,3.772525252525252,3.33817046640574,0.43435478611951206,2.0901940973648838e-05,True
Making Decisions and Solving Problems,4.342020202020203,3.9285455479452054,0.4134746540749976,3.420763765485107e-08,True
Training and Teaching Others,3.7241414141414144,3.3164262230919768,0.40771519104943765,2.5330452611422676e-05,True
"Judging the Qualities of Objects, Services, or People",3.6357575757575757,3.2659285551206785,0.36982902063689727,5.038995502237838e-06,True
Evaluating Information to Determine Compliance with Standards,3.835606060606061,3.5023697325505547,0.3332363280555062,0.00024329976386009352,True
Interpreting the Meaning of Information for Others,3.588888888888889,3.2720864644487935,0.31680242444009554,0.0021547482408024003,True
Processing Information,3.791616161616161,3.5665031800391387,0.22511298157702253,0.026488897501852203,True
Performing for or Working Directly with the Public,3.123383838383839,2.9180902804957602,0.20529355788807857,0.21983786227326718,False
Updating and Using Relevant Knowledge,3.9382323232323233,3.736014807566863,0.2022175156654602,0.06293695763443091,False
Getting Information,4.38010101010101,4.191667840834964,0.18843316926604547,0.0017630573096783537,True
"Estimating the Quantifiable Characteristics of Products, Events, or Information",3.1734343434343435,3.0069303000652314,0.16650404336911206,0.06397232204860873,False
Documenting/Recording Information,3.7414646464646464,3.5814360404435743,0.16002860602107205,0.3900287942277022,False
Assisting and Caring for Others,3.030808080808081,2.956346232876712,0.07446184793136901,0.2835694309278821,False
"Identifying Objects, Actions, and Events",3.8841414141414146,3.8240416177429877,0.060099796398426886,0.39876219299730065,False
"Monitoring Processes, Materials, or Surroundings",3.6200505050505054,3.5730729941291584,0.046977510921347054,0.5743836361699577,False
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",1.8943434343434344,2.0931707273320286,-0.19882729298859414,0.16933909195723695,False
Repairing and Maintaining Electronic Equipment,1.7737373737373736,2.156571999347684,-0.38283462561031056,0.003082199628513359,True
"Inspecting Equipment, Structures, or Materials",2.838989898989899,3.2332550228310506,-0.3942651238411514,0.005604792047276297,True
"Operating Vehicles, Mechanized Devices, or Equipment",2.0644949494949496,2.4901979941291583,-0.4257030446342087,0.060244894457304236,False
Repairing and Maintaining Mechanical Equipment,1.7543434343434343,2.2985022015655576,-0.5441587672221233,0.0016601037347058394,True
Performing General Physical Activities,2.3794444444444447,2.976858007175473,-0.5974135627310284,0.00016450408513278507,True
Controlling Machines and Processes,2.14959595959596,2.8354074527071105,-0.6858114931111503,5.3681055717456605e-05,True
Handling and Moving Objects,2.1927272727272733,2.974930675146771,-0.7822034024194977,5.6137187102418665e-06,True
