,small_firm,large_firm,difference,p_value,significant
Repairing and Maintaining Mechanical Equipment,2.106288669946039,1.882696099204597,0.2235925707414419,2.713335945052905e-98,True
Performing General Physical Activities,2.921814076847353,2.750885349597539,0.17092872724981367,7.031246031515125e-75,True
Handling and Moving Objects,2.88508852497438,2.7173351959836975,0.16775332899068252,2.251473456043351e-72,True
"Operating Vehicles, Mechanized Devices, or Equipment",2.3644336327979425,2.1967719784546165,0.16766165434332603,1.2794894619169665e-63,True
"Inspecting Equipment, Structures, or Materials",3.0817667777334705,2.939119706337672,0.14264707139579835,6.8713522154939435e-46,True
Controlling Machines and Processes,2.5984963914186348,2.472224444703388,0.12627194671524666,1.4256852666326388e-36,True
Performing for or Working Directly with the Public,3.2451493018262325,3.161423922617613,0.08372537920861944,4.724390643844897e-19,True
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",1.944753799258408,1.8666136873702281,0.07814011188817993,8.614727855437906e-11,True
Monitoring and Controlling Resources,2.8115682846265657,2.7432616727606876,0.06830661186587816,1.4691635056727714e-17,True
Scheduling Work and Activities,3.2797189643699074,3.2130684553467677,0.06665050902313974,1.5125532928904776e-23,True
Selling or Influencing Others,2.801464407609214,2.7362496259334037,0.06521478167581041,2.3215394029117543e-26,True
Repairing and Maintaining Electronic Equipment,1.9982595158231484,1.9352419631032856,0.06301755271986287,1.733235537974001e-12,True
Coordinating the Work and Activities of Others,3.35208013576339,3.3053583268099422,0.046721808953447574,4.0059105056590453e-10,True
"Judging the Qualities of Objects, Services, or People",3.293651828295757,3.262865656271579,0.030786172024177993,1.0118131300694498e-12,True
Thinking Creatively,3.310995873693487,3.292188269058805,0.018807604634682118,0.983743559252902,False
Assisting and Caring for Others,3.076459033981835,3.0604663370878016,0.015992696894033376,5.174398156486512e-15,True
Staffing Organizational Units,2.422726080439354,2.4089750942053803,0.013750986233973528,0.5153660234466649,False
Resolving Conflicts and Negotiating with Others,3.3300400423573864,3.3204985903112316,0.009541452046154753,0.8753354963272734,False
"Estimating the Quantifiable Characteristics of Products, Events, or Information",2.9633268318673625,2.9758384900187544,-0.012511658151391991,0.7939252973972653,False
Developing and Building Teams,3.2580020692012046,3.2732074118964603,-0.015205342695255641,4.858118897378344e-06,True
Developing Objectives and Strategies,3.1222698220360865,3.13929945076083,-0.01702962872474334,0.0038210822158884607,True
"Guiding, Directing, and Motivating Subordinates",3.0294379708692523,3.047309837282628,-0.01787186641337568,0.001956796174110039,True
Establishing and Maintaining Interpersonal Relationships,3.790833720346935,3.8188747768540994,-0.028041056507164264,6.245733317442806e-12,True
"Monitoring Processes, Materials, or Surroundings",3.5272854074894693,3.558538836682994,-0.031253429193524696,9.015434811043623e-07,True
Coaching and Developing Others,3.179846654109751,3.2136512559150816,-0.0338046018053304,3.283407456451019e-13,True
Communicating with People Outside the Organization,3.389868620646846,3.4340990590718303,-0.04423043842498453,0.00033680824288672843,True
"Organizing, Planning, and Prioritizing Work",3.758679107672573,3.8035637295727227,-0.044884621900149746,9.232641538890366e-23,True
Training and Teaching Others,3.335999630041053,3.3910541904176257,-0.05505456037657286,5.309231587248796e-22,True
"Identifying Objects, Actions, and Events",3.7574950658586013,3.8142592668107165,-0.05676420095211521,1.2878755928932779e-33,True
Performing Administrative Activities,2.930375586895966,2.9971451239105136,-0.0667695370145478,2.095454780355137e-15,True
Providing Consultation and Advice to Others,2.9123756883842016,2.984043589820389,-0.07166790143618762,1.6772255151247837e-26,True
Getting Information,4.1973180128788306,4.283650913276083,-0.08633290039725239,8.346956804211222e-99,True
Making Decisions and Solving Problems,3.9101612954903655,4.004052677430538,-0.09389138194017255,3.0746217015304093e-71,True
Evaluating Information to Determine Compliance with Standards,3.5185933877080977,3.6148314592224304,-0.09623807151433272,7.132884158637762e-67,True
"Communicating with Supervisors, Peers, or Subordinates",4.027788776104191,4.135124414710397,-0.1073356386062061,7.064353150992163e-96,True
Updating and Using Relevant Knowledge,3.6390022818065026,3.7566260672205867,-0.11762378541408403,5.031455218234603e-122,True
Interpreting the Meaning of Information for Others,3.2196043397948917,3.3553319075077495,-0.13572756771285777,1.0473589892908234e-102,True
Analyzing Data or Information,3.296862737150124,3.4741895465693857,-0.1773268094192617,1.1759185142436034e-134,True
Processing Information,3.470621278362668,3.66979565267373,-0.19917437431106189,1.6956483416734994e-248,True
Documenting/Recording Information,3.454916331435732,3.667571853806936,-0.2126555223712039,1.0921112812427915e-203,True
Working with Computers,3.479455680716422,3.8093264734042664,-0.32987079268784436,7.051143227939692e-222,True
