,NRC_Q1_shrinking,NRC_Q5_growing,difference,p_value,significant
Staffing Organizational Units,2.0735139852730837,2.8895346635775003,0.8160206783044166,2.933995189152511e-05,True
Providing Consultation and Advice to Others,2.7329586004132014,3.471264112849563,0.7383055124363618,3.4101099815401693e-06,True
"Guiding, Directing, and Motivating Subordinates",2.7603582666737303,3.4606062004581064,0.7002479337843761,0.00019503976650749475,True
Monitoring and Controlling Resources,2.482767878900249,3.1638330969231325,0.6810652180228836,0.0008977598614046097,True
Coaching and Developing Others,2.8868033585845203,3.564345065121319,0.6775417065367986,6.842671022170529e-06,True
Coordinating the Work and Activities of Others,2.9393587037135136,3.5729119240282445,0.6335532203147309,1.154695959971324e-05,True
Developing Objectives and Strategies,3.059383628224824,3.6434027871561554,0.5840191589313313,3.357780852931103e-05,True
Developing and Building Teams,3.020306563542936,3.591327718659303,0.5710211551163669,1.426373344421212e-05,True
Training and Teaching Others,3.0168261376278007,3.5225511833545378,0.505725045726737,0.00022028535161301536,True
"Judging the Qualities of Objects, Services, or People",3.1341381178153305,3.597739207335159,0.4636010895198286,0.0010964779405915916,True
Interpreting the Meaning of Information for Others,3.276109485087672,3.710429185658309,0.43431970057063696,0.00014491466605206997,True
Analyzing Data or Information,3.5185228585050594,3.942274076611374,0.42375121810631455,0.007989216226026056,True
Selling or Influencing Others,2.68752134873126,3.069336810078391,0.38181546134713074,0.18138675351792988,False
Resolving Conflicts and Negotiating with Others,3.2776967870954072,3.60820139685397,0.33050460975856266,0.01667002637652991,True
Making Decisions and Solving Problems,3.9764033215023566,4.305744209622142,0.329340888119785,1.0620380445190029e-05,True
"Estimating the Quantifiable Characteristics of Products, Events, or Information",2.78841669756847,3.1175150282907396,0.3290983307222697,0.15310260709084825,False
Thinking Creatively,3.3197942072363196,3.6150768054703026,0.29528259823398306,0.007749607914600132,True
Scheduling Work and Activities,3.3363567833871897,3.618039188130242,0.2816824047430524,0.0019144448765788726,True
"Identifying Objects, Actions, and Events",3.7713188536314024,3.952496055621369,0.18117720198996645,0.003314601232597638,True
"Organizing, Planning, and Prioritizing Work",3.9515169518461617,4.131329870715559,0.17981291886939754,0.002452328803887708,True
Documenting/Recording Information,3.7587586745775283,3.9290186988594025,0.17026002428187414,0.017988646902864294,True
Establishing and Maintaining Interpersonal Relationships,4.004469208560682,4.174209748876949,0.16974054031626729,0.00046963171504266107,True
Assisting and Caring for Others,2.9248352624887426,3.085774179801969,0.16093891731322651,0.004779906954624919,True
Getting Information,4.274812973459766,4.432979517758678,0.1581665442989122,0.04361197040661151,True
Updating and Using Relevant Knowledge,3.8466558642792825,3.9961321583527942,0.1494762940735117,5.635367381850045e-05,True
"Communicating with Supervisors, Peers, or Subordinates",4.237256952905653,4.34611052668289,0.10885357377723626,0.005381726039943488,True
Evaluating Information to Determine Compliance with Standards,3.6754680033903684,3.7829390601520636,0.10747105676169522,0.04205620375549469,True
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",1.7157482650844944,1.822688179312497,0.10693991422800253,0.6375591818005152,False
"Monitoring Processes, Materials, or Surroundings",3.50404914711024,3.6009390757125503,0.09688992860231016,0.08625749610694089,False
"Operating Vehicles, Mechanized Devices, or Equipment",1.7695938311172326,1.8576104905798316,0.08801665946259907,0.6357230307295885,False
Working with Computers,4.2762458282566085,4.355277594782813,0.0790317665262048,0.8658065092078292,False
Processing Information,3.935681861524607,3.9923572601067745,0.056675398582167524,0.8098069196822082,False
Performing General Physical Activities,2.1764804656460246,2.2309592866008243,0.05447882095479972,0.27316309644059766,False
Repairing and Maintaining Mechanical Equipment,1.6091345023043915,1.6313558337970768,0.022221331492685348,0.894081545469164,False
"Inspecting Equipment, Structures, or Materials",2.601746093129205,2.6204488733593405,0.018702780230135385,0.3743139186965152,False
Communicating with People Outside the Organization,3.7247065873814695,3.734424261242008,0.009717673860538678,0.20048092235311132,False
Performing Administrative Activities,3.4635497695608413,3.3784878737400272,-0.08506189582081403,0.37984020799023976,False
Repairing and Maintaining Electronic Equipment,1.8623859061291517,1.7460228656574464,-0.11636304047170531,0.40677148867082347,False
Performing for or Working Directly with the Public,3.1696138687291415,3.0196555239249987,-0.14995834480414283,0.6175953034990342,False
Controlling Machines and Processes,2.1755143825819783,2.0215564587690102,-0.15395792381296802,0.5542305787126167,False
Handling and Moving Objects,2.239474492768978,2.0696440247935883,-0.1698304679753897,0.7009340825097554,False
