,shrinking,growing,difference,p_value
Analyzing Data or Information,3.0986167159441864,3.332624897035028,0.23400818109084165,0.7607809579125829
Assisting and Caring for Others,2.9824328903108954,3.38004333968721,0.3976104493763146,0.008498020420597002
Coaching and Developing Others,2.557725718735651,3.08679128982769,0.5290655710920391,4.168471328038576e-05
Communicating with People Outside the Organization,3.563078506119294,3.786827259390615,0.22374875327132093,0.5495611169053907
"Communicating with Supervisors, Peers, or Subordinates",4.06828801341948,4.2729503712333,0.20466235781382025,0.127038486714685
Controlling Machines and Processes,2.162543142820903,2.229906824567267,0.06736368174636409,0.8666005891550027
Coordinating the Work and Activities of Others,2.7674356680094667,3.4201261521937654,0.6526904841842986,1.5211218310959451e-05
Developing Objectives and Strategies,2.5979413271401306,3.086871571039187,0.48893024389905637,0.0006206529196917894
Developing and Building Teams,2.664701183545405,3.1378286802722615,0.4731274967268564,0.002356774254867385
Documenting/Recording Information,3.808620177005768,3.8887488689586305,0.08012869195286232,0.15947687726025783
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",1.4800639509787823,1.710429935570849,0.2303659845920667,0.42899017363744685
Establishing and Maintaining Interpersonal Relationships,3.713657132687465,3.9215157143076906,0.20785858162022564,0.021689425247436077
"Estimating the Quantifiable Characteristics of Products, Events, or Information",2.4997956105479786,2.7759392223470005,0.2761436117990219,0.31017817799957814
Evaluating Information to Determine Compliance with Standards,3.416805980950396,3.534502034126333,0.11769605317593701,0.4994169964116044
Getting Information,4.1423092261872565,4.293616073863469,0.15130684767621272,0.2794856881741603
"Guiding, Directing, and Motivating Subordinates",2.375771261193142,2.835362366774865,0.459591105581723,0.002800983981424021
Handling and Moving Objects,2.2237478478981427,2.5101171248403955,0.2863692769422528,0.11288768011215805
"Identifying Objects, Actions, and Events",3.507161113399914,3.825661514106026,0.3185004007061121,0.002526330241501609
"Inspecting Equipment, Structures, or Materials",2.503941618183946,2.7472473075271764,0.24330568934323038,0.05558604679506369
Interpreting the Meaning of Information for Others,2.9156166933292953,3.3939241436600844,0.47830745033078914,0.01851461405488454
"Judging the Qualities of Objects, Services, or People",2.738660726488625,3.0532806353131043,0.3146199088244792,0.0035564635655135723
Making Decisions and Solving Problems,3.6320270710078075,3.933788768322172,0.3017616973143644,0.0028668572933477233
"Monitoring Processes, Materials, or Surroundings",3.2763667702690875,3.5291546523385104,0.25278788206942293,0.06565606639419659
Monitoring and Controlling Resources,2.3952393196260875,2.6802818967651167,0.28504257713902925,0.004953189849167483
"Operating Vehicles, Mechanized Devices, or Equipment",1.7609615163382757,2.0924307844637218,0.3314692681254461,0.0192218376792784
"Organizing, Planning, and Prioritizing Work",3.6791962274428753,3.887307359355792,0.20811113191291675,0.1977963708740379
Performing Administrative Activities,3.5196032266533206,3.5483505186357855,0.02874729198246495,0.8010732001164276
Performing General Physical Activities,2.2376732325233597,2.6702146356403547,0.43254140311699496,0.00434314431414237
Performing for or Working Directly with the Public,3.2348101578224417,3.7598063209654162,0.5249961631429745,0.042032730901331146
Processing Information,3.752663050906119,3.7998366545509468,0.04717360364482781,0.08830675780421511
Providing Consultation and Advice to Others,2.3442400560849297,2.8555275722363085,0.5112875161513788,8.13132975277406e-05
Repairing and Maintaining Electronic Equipment,1.7290480605764436,1.8539127877949622,0.1248647272185186,0.7421759532673684
Repairing and Maintaining Mechanical Equipment,1.5972195286466757,1.6218889544632602,0.02466942581658449,0.6167474099242546
Resolving Conflicts and Negotiating with Others,3.1292971586847576,3.5764791433873766,0.44718198470261905,0.02129341416528653
Scheduling Work and Activities,3.0477202813292443,3.3976765927929415,0.3499563114636972,0.0006275425485205276
Selling or Influencing Others,2.0690719438678737,2.562527113526486,0.49345516965861247,0.1929829450475411
Staffing Organizational Units,2.085323358527633,2.4863467188961876,0.40102336036855446,0.008944565598880088
Thinking Creatively,2.8025390623079582,3.258094822872278,0.4555557605643199,0.0003824080632439094
Training and Teaching Others,2.77192444856538,3.5591761054137545,0.7872516568483747,8.620907322822005e-05
Updating and Using Relevant Knowledge,3.5746665434318983,3.7565238326324493,0.181857289200551,0.03081934280717194
Working with Computers,4.257908879687796,4.148046826161564,-0.10986205352623202,0.32887561176476865
