,shrinking,growing,difference,p_value
Analyzing Data or Information,3.722605947429551,3.755494139002137,0.032888191572586045,0.9368056573637062
Assisting and Caring for Others,3.284659420175258,2.912124713580505,-0.3725347065947533,0.032581761800865104
Coaching and Developing Others,3.6735688816435688,3.2343798306837757,-0.4391890509597931,0.21975735803566598
Communicating with People Outside the Organization,3.572591147823856,3.8801249585932394,0.30753381076938346,0.013710127832911468
"Communicating with Supervisors, Peers, or Subordinates",4.11821552952629,4.336815878050815,0.21860034852452515,0.0187228225907193
Controlling Machines and Processes,2.0177966620277874,1.7205796763167993,-0.2972169857109881,0.08170504252297413
Coordinating the Work and Activities of Others,3.4612591415789407,3.2847278051509643,-0.17653133642797636,0.06980521202585269
Developing Objectives and Strategies,3.602965616505272,3.477698079196421,-0.12526753730885076,0.06316642243329988
Developing and Building Teams,3.3982686635811095,3.386977779533199,-0.011290884047910676,0.04982647594856762
Documenting/Recording Information,3.846869154177714,4.039527486393762,0.19265833221604822,0.015375854847989284
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",1.6294569590214776,1.4712127376233173,-0.1582442213981603,0.534938693534367
Establishing and Maintaining Interpersonal Relationships,4.000427800415742,4.1642145184428045,0.16378671802706268,0.006327733935260632
"Estimating the Quantifiable Characteristics of Products, Events, or Information",2.803725957779172,2.801252393533208,-0.0024735642459638996,0.4080624935572824
Evaluating Information to Determine Compliance with Standards,3.5659262866300123,3.865397117624973,0.29947083099496075,0.2171665986218716
Getting Information,4.154382280096924,4.420203404641665,0.2658211245447406,0.11121852549710921
"Guiding, Directing, and Motivating Subordinates",3.2392620338497595,3.0497854456839284,-0.18947658816583113,0.31248262495720114
Handling and Moving Objects,2.29830814237493,1.8982170885581124,-0.40009105381681764,0.8173434980874803
"Identifying Objects, Actions, and Events",3.818866705587565,3.749437850516376,-0.06942885507118923,0.3609524334972417
"Inspecting Equipment, Structures, or Materials",2.5065684594880016,2.3371632707666627,-0.1694051887213388,0.7774392909951067
Interpreting the Meaning of Information for Others,3.5815962510301294,3.5853936776249147,0.0037974265947853247,0.14100103610801937
"Judging the Qualities of Objects, Services, or People",3.4671884351338864,3.242961004779427,-0.22422743035445958,0.4159132397222355
Making Decisions and Solving Problems,4.121127339866422,4.1675415344994216,0.046414194632999894,0.031190368962133452
"Monitoring Processes, Materials, or Surroundings",3.5567054557786553,3.4690932351804933,-0.08761222059816198,0.3926077337957664
Monitoring and Controlling Resources,2.5685599882622303,2.7303267504769155,0.16176676221468522,0.20832984746860816
"Operating Vehicles, Mechanized Devices, or Equipment",1.839654932850468,1.6792784593232128,-0.16037647352725526,0.9313218992336094
"Organizing, Planning, and Prioritizing Work",3.9025450863024793,4.094946721762632,0.19240163546015276,0.001207654432212138
Performing Administrative Activities,3.197283876995904,3.5672642037850046,0.36998032678910064,0.006135058052518853
Performing General Physical Activities,2.4811908213451694,1.9912697605876368,-0.4899210607575326,0.6367468085386424
Performing for or Working Directly with the Public,3.1748796527166436,3.15578319974319,-0.019096452973453637,0.03894151413228327
Processing Information,3.7450004129305237,3.8417286396941113,0.09672822676358761,0.8821629919973865
Providing Consultation and Advice to Others,3.0786453133264104,3.3405616346099016,0.2619163212834912,0.04707324889529551
Repairing and Maintaining Electronic Equipment,1.6976357135703029,1.4273139861976907,-0.2703217273726122,0.061712727637858136
Repairing and Maintaining Mechanical Equipment,1.5075414753568337,1.2962326853423678,-0.2113087900144659,0.46273247962665365
Resolving Conflicts and Negotiating with Others,3.5952569657865094,3.477587953863285,-0.11766901192322443,0.01232588885726789
Scheduling Work and Activities,3.5351703338411498,3.495589743217364,-0.03958059062378583,0.05145333274163953
Selling or Influencing Others,2.392686449113781,2.8232884616686866,0.4306020125549055,0.06821980735105211
Staffing Organizational Units,2.271339663031121,2.441162104409787,0.16982244137866598,0.026659819920104754
Thinking Creatively,3.793761663090864,3.5121177720194,-0.28164389107146404,0.7433063341578975
Training and Teaching Others,3.8334169495680044,3.4249761606470934,-0.40844078892091096,0.674092363323715
Updating and Using Relevant Knowledge,3.9552908216965994,3.9993133989618244,0.04402257726522496,0.1457219000314141
Working with Computers,4.206629838974668,4.3158390003021525,0.1092091613274846,0.5718120346276858
