,shrinking,growing,difference,p_value
Analyzing Data or Information,3.985691044465206,4.0907251010350745,0.10503405656986864,0.18473844060421218
Assisting and Caring for Others,2.471626955820961,2.853766305688995,0.38213934986803366,0.002497754875197404
Coaching and Developing Others,3.3377142197336966,3.640468328876648,0.3027541091429513,0.20520622383322262
Communicating with People Outside the Organization,3.7776789276335725,3.7850394771129885,0.007360549479416001,0.9637130761660506
"Communicating with Supervisors, Peers, or Subordinates",4.179689667289501,4.354725688276984,0.17503602098748328,0.03543364715693384
Controlling Machines and Processes,2.231344524332559,2.0151024623184526,-0.21624206201410656,0.6899298917047954
Coordinating the Work and Activities of Others,3.4135376003686497,3.7289560779422644,0.31541847757361463,0.018689705853090613
Developing Objectives and Strategies,3.57969924649867,3.766000254717042,0.18630100821837203,0.18823873021474535
Developing and Building Teams,3.352347632183618,3.7129980679257724,0.3606504357421545,0.0038460135018598615
Documenting/Recording Information,3.690713595848904,3.8802771057836534,0.18956350993474924,0.3483120201950636
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",2.476481158258425,1.967858954207562,-0.5086222040508632,0.6822223379878267
Establishing and Maintaining Interpersonal Relationships,3.86667943368515,4.1955459260696735,0.3288664923845235,0.0005380581841953858
"Estimating the Quantifiable Characteristics of Products, Events, or Information",3.3302240198801467,3.307437109176812,-0.022786910703334495,0.6366088900496791
Evaluating Information to Determine Compliance with Standards,3.7183308293775035,3.8436645708046617,0.12533374142715825,0.13788119217354694
Getting Information,4.3995432384775945,4.458064902086447,0.05852166360885214,0.9302612479713432
"Guiding, Directing, and Motivating Subordinates",3.252573245968421,3.6631894711507917,0.4106162251823706,0.05211173761518133
Handling and Moving Objects,1.9306959892519273,1.932336895343409,0.0016409060914817086,0.17122493357188417
"Identifying Objects, Actions, and Events",3.8973079423795576,4.025843612368774,0.12853566998921684,0.8501012232496579
"Inspecting Equipment, Structures, or Materials",2.811503467663199,2.601296005604005,-0.21020746205919405,0.39512806829975866
Interpreting the Meaning of Information for Others,3.687476654294179,3.8215041438422706,0.13402748954809152,0.2642707338460649
"Judging the Qualities of Objects, Services, or People",3.3928827633151535,3.6784288136654486,0.2855460503502951,0.2410245274317745
Making Decisions and Solving Problems,4.243433938701477,4.41715247525573,0.17371853655425262,0.18236959765341676
"Monitoring Processes, Materials, or Surroundings",3.4697323502676496,3.639511598200383,0.16977924793273358,0.41085946220768654
Monitoring and Controlling Resources,2.8110070268575567,3.3199370211250554,0.5089299942674987,0.025802819611507138
"Operating Vehicles, Mechanized Devices, or Equipment",1.921647250488166,1.865425749809624,-0.056221500678542036,0.9302808285172878
"Organizing, Planning, and Prioritizing Work",3.9284608930495244,4.145630138654468,0.21716924560494366,0.01308908717088012
Performing Administrative Activities,2.951910939130727,3.213171325582937,0.26126038645220984,0.13786049097634548
Performing General Physical Activities,2.038671572526344,2.0943412899893095,0.05566971746296545,0.07718510111572358
Performing for or Working Directly with the Public,2.6142335159748176,2.8091357956057457,0.1949022796309281,0.7687977468254638
Processing Information,3.9460370006817493,4.0401590347087355,0.09412203402698616,0.050836309212975335
Providing Consultation and Advice to Others,3.324328866191967,3.6221763349797285,0.29784746878776147,0.29860117498874517
Repairing and Maintaining Electronic Equipment,1.942034500934249,1.7506127055576886,-0.19142179537656046,0.9525610980060712
Repairing and Maintaining Mechanical Equipment,1.6498993209860955,1.6300668531522298,-0.01983246783386572,0.4029381971572392
Resolving Conflicts and Negotiating with Others,3.1532632751742247,3.644409599736282,0.4911463245620573,0.005285894064443881
Scheduling Work and Activities,3.4230478613271385,3.624898593727124,0.2018507323999854,0.07260178824571835
Selling or Influencing Others,3.035313225936774,3.250845977680664,0.21553275174388986,0.1636619388871562
Staffing Organizational Units,2.513595122967377,3.0190101975444033,0.5054150745770261,0.06363092824518453
Thinking Creatively,3.8145835174477325,3.741616248691309,-0.07296726875642356,0.09368023226270711
Training and Teaching Others,3.541430684610982,3.4801005562569007,-0.06133012835408147,0.30518169724232136
Updating and Using Relevant Knowledge,4.027012601841564,4.029456132499822,0.0024435306582581973,0.6950800258848095
Working with Computers,4.306238637511362,4.355994910032974,0.049756272521611855,0.15536192745397462
