soc_2018_harmonized,occ_title,employment,median_wage,growth_profile_score,aioe_score
11-9032,"Education Administrators, Kindergarten through Secondary",319630.0,104070.0,3.273342110478829,1.048811
11-3121,Human Resources Managers,215520.0,140030.0,3.2375905256917514,1.320417
11-1011,Chief Executives,211850.0,206420.0,3.231713955537331,
11-9111,Medical and Health Services Managers,565840.0,117960.0,3.1645954828034997,1.260259
11-3131,Training and Development Managers,44960.0,127090.0,3.1108077360477386,1.284423
19-3032,Industrial-Organizational Psychologists,1050.0,109840.0,3.1095970854995545,1.402475
11-2022,Sales Managers,603710.0,138060.0,3.0876182401588466,1.26628
29-1217,Neurologists,7700.0,,3.0262356912340977,
19-3051,Urban and Regional Planners,43040.0,83720.0,3.02221934188724,1.227516
13-1111,Management Analysts,893900.0,101190.0,3.013677306505255,1.432417
11-9161,Emergency Management Directors,12570.0,86130.0,2.9948429590828956,1.030768
11-9033,"Education Administrators, Postsecondary",176420.0,103960.0,2.9789317099907864,1.461149
11-3061,Purchasing Managers,81240.0,139510.0,2.9750505693897273,1.423426
27-3031,Public Relations Specialists,280590.0,69780.0,2.974800229472517,1.284927
13-1131,Fundraisers,105930.0,66490.0,2.9589289641828582,1.242567
19-3099,"Social Scientists and Related Workers, All Other",36970.0,100340.0,2.9536913016059683,1.328048
11-1021,General and Operations Managers,3584420.0,102950.0,2.938580514580077,0.5748773
25-1072,"Nursing Instructors and Teachers, Postsecondary",74250.0,79940.0,2.9338941111776515,0.5170682
21-1091,Health Education Specialists,65150.0,63000.0,2.931137156723886,0.691658
11-9021,Construction Managers,348330.0,106980.0,2.9227929892317266,1.029139
25-1041,"Agricultural Sciences Teachers, Postsecondary",8700.0,86350.0,2.918717244536859,0.7546685
25-1066,"Psychology Teachers, Postsecondary",41610.0,80330.0,2.9152340096454825,1.33366
11-9171,Funeral Home Managers,13120.0,76830.0,2.9115672564641435,
19-1041,Epidemiologists,11460.0,83980.0,2.90791683573292,1.436287
11-9031,"Education and Childcare Administrators, Preschool and Daycare",71620.0,56270.0,2.897957862574372,0.838007
11-9131,Postmasters and Mail Superintendents,13810.0,92730.0,2.8808214367930822,0.8233757
29-1229,"Physicians, All Other",315360.0,,2.880552911282327,
25-1061,"Anthropology and Archeology Teachers, Postsecondary",5260.0,95770.0,2.8789592378646827,1.321694
11-9081,Lodging Managers,41350.0,68130.0,2.8775123841952395,0.4021726
29-1041,Optometrists,41890.0,134830.0,2.874746758449436,0.5040194
11-2021,Marketing Managers,384980.0,161030.0,2.873878520143059,1.315032
23-1011,Lawyers,747750.0,151160.0,2.8737860626043292,1.328783
21-1021,"Child, Family, and School Social Workers",382960.0,58570.0,2.8710360714659506,0.7761707
25-9031,Instructional Coordinators,210850.0,74720.0,2.8709866668019894,1.301855
11-9179,"Personal Service Managers, All Other",10490.0,61340.0,2.865880534804539,
33-1012,First-Line Supervisors of Police and Detectives,153130.0,105980.0,2.864022970681812,-0.1923298
29-1181,Audiologists,14730.0,92120.0,2.8612547382430638,0.6329063
13-1121,"Meeting, Convention, and Event Planners",134670.0,59440.0,2.860546620812661,0.3740207
29-2081,"Opticians, Dispensing",79690.0,46560.0,2.8593414733926465,0.1013966
21-1094,Community Health Workers,60730.0,51030.0,2.8533705263455236,0.0371229
35-1011,Chefs and Head Cooks,182320.0,60990.0,2.8528354656424244,-0.2676433
11-3021,Computer and Information Systems Managers,645970.0,171200.0,2.845718489825786,1.059853
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,93680.0,92430.0,2.8428555969576506,-0.593021
41-1012,First-Line Supervisors of Non-Retail Sales Workers,219010.0,84130.0,2.8418935733602577,1.316195
11-3071,"Transportation, Storage, and Distribution Managers",213000.0,102010.0,2.839992804904679,0.8907923
33-1011,First-Line Supervisors of Correctional Officers,53390.0,76310.0,2.8390939312331205,-0.5584278
11-9141,"Property, Real Estate, and Community Association Managers",296640.0,66700.0,2.838661191829329,1.215396
43-4111,"Interviewers, Except Eligibility and Loan",157310.0,43830.0,2.838236120241807,1.297031
17-1011,"Architects, Except Landscape and Naval",111140.0,96690.0,2.837857576527032,1.047142
25-1113,"Social Work Teachers, Postsecondary",13350.0,76210.0,2.8338034586002308,1.347327
