,importance_2005,importance_2024,total_change
Science,1.4139581148130682,1.535939739581208,0.12198162476813978
Operations Analysis,1.7033693947115318,1.8128854338078282,0.10951603909629637
Systems Evaluation,2.410457106488724,2.518476012002487,0.10801890551376303
Systems Analysis,2.442603146534906,2.5505546166527484,0.10795147011784234
Active Learning,2.8835680633764227,2.979328997453589,0.09576093407716613
Complex Problem Solving,2.9146153748785935,3.0096906452911387,0.09507527041254527
Learning Strategies,2.576317886053328,2.6703550715364295,0.09403718548310147
Management of Personnel Resources,2.475319230209571,2.5678827212296578,0.09256349102008699
Critical Thinking,3.2711526502865484,3.36219590732164,0.09104325703509142
Judgment and Decision Making,3.032836673417641,3.121515978540512,0.08867930512287137
Writing,2.9578276969821116,3.0454617238294697,0.0876340268473581
Reading Comprehension,3.286532525444108,3.3675544135515643,0.08102188810745625
Monitoring,3.189525811547731,3.2621126699286074,0.07258685838087642
Coordination,3.107918724023821,3.176492930329413,0.06857420630559208
Social Perceptiveness,3.1517305898015544,3.219702177085463,0.06797158728390862
Service Orientation,3.0539564446122376,3.1206579643005097,0.06670151968827209
Instructing,2.684832343378102,2.750235701414045,0.065403358035943
Management of Material Resources,1.9131845297130945,1.97614566673615,0.06296113702305561
Active Listening,3.5247393652655465,3.584672782927406,0.059933417661859334
Technology Design,1.5658201525968802,1.6230767627826408,0.05725661018576056
Management of Financial Resources,1.8306880640537992,1.8874921079343354,0.05680404388053617
Speaking,3.469280833820726,3.52487813335088,0.05559729953015369
Programming,1.4272616044759474,1.4813634565349953,0.05410185205904794
Persuasion,2.7387688120375464,2.783185838500555,0.04441702646300838
Negotiation,2.6255347243426046,2.662906099941956,0.03737137559935144
Mathematics,2.426072711610426,2.4613708611318,0.035298149521374
Time Management,3.0479674029989963,3.0814444666551024,0.03347706365610614
Troubleshooting,1.8406947516339704,1.8717947221326827,0.03109997049871227
Quality Control Analysis,2.1826704418069354,2.2106657554437983,0.027995313636862917
Operations Monitoring,2.3332338340535284,2.3572379115177586,0.024004077464230278
Installation,1.1777673097306258,1.190824966387585,0.013057656656959127
Equipment Selection,1.5039111830633776,1.5023331429309397,-0.0015780401324378968
Operation and Control,2.0171356921641013,2.013253328342876,-0.0038823638212250877
Repairing,1.4841934908494776,1.4692285185955285,-0.014964972253949105
Equipment Maintenance,1.5094852132411123,1.4927899488833543,-0.016695264357758033
