soc_2010,soc_2018
11-1011,11-1011
11-1021,11-1021
11-1031,11-1031
11-2011,11-2011
11-2031,11-2030
11-3021,11-3021
11-3031,11-3031
11-3111,11-3111
11-3121,11-3121
11-3131,11-3131
11-3051,11-3051
11-3061,11-3061
11-3071,11-3071
11-9013,11-9013
11-9021,11-9021
11-9030,11-9030
11-9041,11-9041
11-9051,11-9051
11-9061,11-9171
11-9071,11-9070
11-9081,11-9081
11-9111,11-9111
11-9121,11-9121
11-9131,11-9131
11-9141,11-9141
11-9151,11-9151
11-9161,11-9161
11-9199,11-9199
13-1011,13-1011
13-1021,13-1021
13-1022,13-1022
13-1023,13-1023
13-1030,13-1030
13-1041,13-1041
13-1051,13-1051
13-1070,13-1070
13-1081,13-1081
13-1111,13-1111
13-1121,13-1121
13-1131,13-1131
13-1141,13-1141
13-1151,13-1151
13-1161,13-1161
13-1199,13-1199
13-2011,13-2011
13-2021,13-2020
13-2031,13-2031
13-2041,13-2041
13-2051,13-2051
13-2052,13-2052
13-2053,13-2053
13-2061,13-2061
13-2070,13-2070
13-2081,13-2081
13-2082,13-2082
13-2099,13-20XX
15-1111,15-1221
15-1121,15-1211
15-1199,15-1299
15-1131,15-1251
15-1150,15-1230
15-1141,15-124X
15-1142,15-1244
15-1122,15-1212
15-1143,15-1241
15-2011,15-2011
15-2021,15-2021
15-2031,15-2031
15-2041,15-2041
15-2090,15-20XX
17-1020,17-1020
17-2011,17-2011
17-2021,17-2021
17-2031,17-2031
17-2041,17-2041
17-2051,17-2051
17-2061,17-2061
17-2070,17-2070
17-2081,17-2081
17-2110,17-2110
17-2121,17-2121
17-2131,17-2131
17-2141,17-2141
17-2151,17-2151
17-2161,17-2161
17-2171,17-2171
17-2199,17-2199
17-3031,17-3031
19-1010,19-1010
19-1020,19-1020
19-1030,19-1030
19-1040,19-1040
19-1099,19-1099
19-2010,19-2010
19-2021,19-2021
19-2030,19-2030
19-2099,19-2099
19-3011,19-3011
19-3022,19-3022
19-3041,19-3041
19-3051,19-3051
19-3090,19-3090
19-4011,19-4010
19-4021,19-4021
19-4031,19-4031
19-4041,19-4040
19-4051,19-4051
19-4061,19-4061
19-4090,19-40XX
21-1092,21-1092
21-1093,21-1093
21-109X,21-109X
21-2011,21-2011
21-2021,21-2021
21-2099,21-2099
23-1011,23-1011
23-1012,23-1012
23-1020,23-1020
23-2011,23-2011
25-1000,25-1000
25-2010,25-2010
25-2020,25-2020
25-2030,25-2030
25-2050,25-2050
25-4010,25-4010
25-4021,25-4022
25-4031,25-4031
25-9041,25-9040
25-90XX,25-90XX
27-1010,27-1010
27-2011,27-2011
27-2012,27-2012
27-2030,27-2030
27-2099,27-2099
27-3010,27-3011
27-3020,27-3023
27-3031,27-3031
27-3041,27-3041
27-3042,27-3042
27-3043,27-3043
27-4010,27-4010
27-4021,27-4021
27-4030,27-4030
27-4099,27-4099
29-1011,29-1011
29-1020,29-1020
29-1031,29-1031
29-1041,29-1041
29-1051,29-1051
29-1071,29-1071
29-1081,29-1081
29-1122,29-1122
29-1123,29-1123
29-1124,29-1124
29-1125,29-1125
29-1126,29-1126
29-1127,29-1127
29-1128,29-1128
29-1129,29-1129
29-1131,29-1131
29-1141,29-1141
29-1151,29-1151
29-1161,29-1161
29-1171,29-1171
29-1181,29-1181
29-2010,29-2010
29-2021,29-1292
29-2061,29-2061
29-2071,29-2072
29-2081,29-2081
29-2090,29-2090
31-2010,31-2010
31-2020,31-2020
31-9011,31-9011
31-9091,31-9091
31-9092,31-9092
31-9094,31-9094
31-9095,31-9095
31-9096,31-9096
31-9097,31-9097
31-909X,31-909X
33-1011,33-1011
33-1012,33-1012
33-1021,33-1021
33-2011,33-2011
33-2020,33-2020
33-3021,33-3021
33-3031,33-3031
33-3041,33-3041
33-9011,33-9011
33-9021,33-9021
33-9030,33-9030
33-9091,33-9091
33-9093,33-9093
35-1011,35-1011
35-1012,35-1012
35-2010,35-2010
35-2021,35-2021
35-3011,35-3011
35-3031,35-3031
35-3041,35-3041
35-9011,35-9011
35-9021,35-9021
35-9031,35-9031
35-9099,35-9099
37-1011,37-1011
37-1012,37-1012
37-201X,37-201X
37-2012,37-2012
37-2021,37-2021
39-2011,39-2011
39-2021,39-2021
39-3010,39-3010
39-3031,39-3031
39-3090,39-30XX
39-40XX,39-40XX
39-4031,39-4031
39-5011,39-5011
39-5012,39-5012
39-6010,39-6010
39-7010,39-7010
39-9011,39-9011
39-9021,31-1122
39-9041,39-9041
39-9099,39-9099
41-1011,41-1011
41-1012,41-1012
41-2010,41-2010
41-2021,41-2021
41-2022,41-2022
41-2031,41-2031
41-3011,41-3011
41-3021,41-3021
41-3031,41-3031
41-3041,41-3041
41-3099,41-3091
41-4010,41-4010
41-9010,41-9010
41-9020,41-9020
41-9031,41-9031
41-9041,41-9041
41-9091,41-9091
41-9099,41-9099
43-1011,43-1011
43-2011,43-2011
43-2021,43-2021
43-2099,43-2099
43-3011,43-3011
43-3021,43-3021
43-3031,43-3031
43-3041,43-3041
43-3051,43-3051
43-3061,43-3061
43-3071,43-3071
43-3099,43-3099
43-4011,43-4011
43-4021,43-4021
43-4031,43-4031
43-4041,43-4041
43-4051,43-4051
43-4061,43-4061
43-4071,43-4071
43-4081,43-4081
43-4111,43-4111
43-4121,43-4121
43-4131,43-4131
43-4141,43-4141
43-4151,43-4151
43-4161,43-4161
43-4171,43-4171
43-4181,43-4181
43-4199,43-4199
43-5011,43-5011
43-5021,43-5021
43-5041,43-5041
43-5051,43-5051
43-5052,43-5052
43-5053,43-5053
43-5061,43-5061
43-5071,43-5071
43-5081,53-7065
43-5111,43-5111
43-9021,43-9021
43-9022,43-9022
43-9031,43-9031
43-9041,43-9041
43-9051,43-9051
43-9061,43-9061
43-9071,43-9071
43-9081,43-9081
43-9111,43-9111
43-9199,43-9199
45-1011,45-1011
45-2011,45-2011
45-2021,45-2021
45-2041,45-2041
45-2090,45-2090
45-4011,45-4011
45-4020,45-4020
47-1011,47-1011
47-2011,47-2011
47-2020,47-2020
47-2031,47-2031
47-2040,47-2040
47-2050,47-2050
47-2061,47-2061
47-2080,47-2080
47-2111,47-2111
47-2121,47-2121
47-2130,47-2130
47-2161,47-2161
47-2171,47-2171
47-2181,47-2181
47-2211,47-2211
47-2221,47-2221
47-2231,47-2231
47-3010,47-3010
47-4011,47-4011
47-4021,47-4021
47-4031,47-4031
47-4041,47-4041
47-4051,47-4051
47-4061,47-4061
47-4071,47-4071
47-4090,47-4090
47-5010,47-5010
47-5021,47-5023
47-5031,47-5032
47-5071,47-5071
47-50XX,47-50XX
49-1011,49-1011
49-2011,49-2011
49-2020,49-2020
49-2091,49-2091
49-2092,49-2092
49-2093,49-2093
49-209X,49-209X
49-2096,49-2096
49-2097,49-2097
49-2098,49-2098
49-3011,49-3011
49-3021,49-3021
49-3022,49-3022
49-3023,49-3023
49-3031,49-3031
49-3040,49-3040
49-3050,49-3050
49-3090,49-3090
49-9010,49-9010
49-9021,49-9021
49-9031,49-9031
49-904X,49-904X
49-9071,49-9071
49-9043,49-9043
49-9044,49-9044
49-9051,49-9051
49-9052,49-9052
49-9060,49-9060
49-9081,49-9081
49-9091,49-9091
49-9092,49-9092
49-9094,49-9094
49-9095,49-9095
49-9096,49-9096
49-9098,49-9098
51-1011,51-1011
51-2011,51-2011
51-2020,51-2020
51-2031,51-2031
51-2041,51-2041
51-2090,51-20XX
51-3011,51-3011
51-3020,51-3020
51-3091,51-3091
51-3092,51-3092
51-3093,51-3093
51-3099,51-3099
51-4010,51-9160
51-4031,51-4031
51-4033,51-4033
51-4041,51-4041
51-4050,51-4050
51-4060,51-4060
51-4070,51-4070
51-4111,51-4111
51-4120,51-4120
51-5111,51-5111
51-5112,51-5112
51-5113,51-5113
51-6011,51-6011
51-6021,51-6021
51-6031,51-6031
51-6050,51-6050
51-6093,51-6093
51-7011,51-7011
51-7021,51-7021
51-7041,51-7041
51-7042,51-7042
51-8010,51-8010
51-8021,51-8021
51-8031,51-8031
51-8090,51-8090
51-9010,51-9010
51-9020,51-9020
51-9030,51-9030
51-9041,51-9041
51-9051,51-9051
51-9061,51-9061
51-9071,51-9071
51-9080,51-9080
51-9111,51-9111
51-9120,51-9120
51-9151,51-9151
51-9191,51-9191
51-9194,51-9194
51-9195,51-9195
51-9196,51-9196
51-9197,51-9197
51-9198,51-9198
53-1000,53-1000
53-2010,53-2010
53-2020,53-2020
53-2031,53-2031
53-3011,53-3011
53-3030,53-3030
53-3099,53-3099
53-4010,53-4010
53-4031,53-4031
53-5011,53-5011
53-5031,53-5031
53-5020,53-5020
53-6021,53-6021
53-6031,53-6030
53-6051,53-6051
53-6061,53-6061
53-7021,53-7021
53-7051,53-7051
53-7061,53-7061
53-7062,53-7062
53-7063,53-7063
53-7064,53-7064
53-7070,53-7070
53-7081,53-7081
55-1010,55-1010
55-2010,55-2010
55-3010,55-3010
none,none
