soc_code,title,spec_score,spec_residual,complexity_pc1,aioe_score,emp_2005,wage_2005,emp_2009,wage_2009,emp_2014,wage_2014,emp_2019,wage_2019,emp_2024,wage_2024,emp_growth,emp_cagr,real_wage_2005,real_wage_2009,real_wage_2014,real_wage_2019,real_wage_2024,real_wage_growth,spec_tercile,aioe_tercile,emp_growth_w
11-1011,Chief executives,3.023411846468651,0.14250305120528273,8.83326301090862,,321300.0,142440.0,297640.0,160720.0,246240.0,173320.0,205890.0,184460.0,211850.0,206420.0,-0.34064737005913476,-0.021682367074805864,228429.12442396313,234673.6783216783,229335.96958174906,225940.0547516621,206420.0,-0.09634990494081799,Specification,,-0.34064737005913476
11-1021,General and operations managers,2.755504018683192,0.14437180514864822,6.106889283897814,0.5748773,1663810.0,81480.0,1689680.0,92650.0,2049870.0,97270.0,2400280.0,100780.0,3584420.0,102950.0,1.1543445465527915,0.041220963070512706,130668.38709677418,135281.95804195805,128707.072243346,123442.69065310911,102950.0,-0.2121277205040091,Specification,Medium AI,1.1543445465527915
11-2011,Advertising and promotions managers,2.306216282824235,0.20393342387347158,0.9644358416708332,1.294387,41710.0,68860.0,35760.0,82370.0,29340.0,96720.0,25100.0,125510.0,21100.0,126960.0,-0.4941261088467993,-0.03523114022272211,110429.86175115207,120271.72027972028,127979.31558935362,153733.7974188502,126960.0,0.14968902420703678,Specification,High AI,-0.4941261088467993
11-2021,Marketing managers,2.707759943407318,0.2384156832096198,4.673974134973654,1.315032,166470.0,92680.0,169330.0,110030.0,184490.0,127130.0,263680.0,136850.0,384980.0,161030.0,1.3126088784766023,0.04511305580806679,148629.67741935482,160659.1888111888,168217.64258555134,167623.85608134532,161030.0,0.08343099975691927,Specification,High AI,1.3126088784766023
11-2022,Sales managers,2.891690040317964,0.30072041203523225,5.9031253309746825,1.26628,317970.0,87580.0,328980.0,96790.0,358920.0,110660.0,402600.0,126640.0,603710.0,138060.0,0.8986382363116017,0.03431983658603577,140450.87557603687,141326.93706293707,146424.63878326997,155117.903793508,138060.0,-0.017022859887708575,Specification,High AI,0.8986382363116017
11-3021,Computer and information systems managers,2.6895343430276903,0.15142837465544856,5.368882912414915,1.059853,259330.0,96520.0,287210.0,113720.0,330360.0,127640.0,433960.0,146360.0,645970.0,171200.0,1.4909189064126789,0.04920664145246323,154787.83410138247,166047.1048951049,168892.47148288973,179272.39734063356,171200.0,0.10603007654896147,Specification,High AI,1.4909189064126789
11-3031,Financial managers,2.6115071409285813,0.1708631325071952,4.3839281572980004,1.446232,471950.0,86280.0,495180.0,101190.0,518030.0,115320.0,654790.0,129890.0,818620.0,161700.0,0.7345481512872126,0.029410884144948524,138366.08294930874,147751.55244755244,152590.72243346006,159098.74071177162,161700.0,0.1686389941329754,Specification,High AI,0.7345481512872126
11-3051,Industrial production managers,2.443924296481572,0.004449865636752648,4.372108356053513,0.5086878,153950.0,75580.0,147250.0,85080.0,167200.0,92470.0,185790.0,105480.0,234380.0,121440.0,0.5224423514127964,0.022368390424723605,121206.63594470045,124228.6993006993,122355.74144486692,129199.59327336722,121440.0,0.0019253405845371357,Specification,Medium AI,0.5224423514127964
11-3061,Purchasing managers,2.800355830911593,0.1701753027824524,6.2993923696799135,1.423426,69300.0,76270.0,65080.0,91440.0,70840.0,106090.0,72100.0,121110.0,81240.0,139510.0,0.1722943722943723,0.008401561440430472,122313.1797235023,133515.1888111888,140377.64258555134,148344.35666797028,139510.0,0.1405966251173614,Specification,High AI,0.1722943722943723
11-3071,"Transportation, storage, and distribution managers",2.6615693856357914,0.16654229932797193,4.9335258792106895,0.8907923,84870.0,69120.0,92380.0,79490.0,106000.0,85400.0,132040.0,94560.0,213000.0,102010.0,1.5097207493814069,0.04962197812390001,110846.82027649769,116066.51748251748,113000.76045627377,115823.98122800156,102010.0,-0.07972100827479772,Specification,High AI,1.5097207493814069
