year,st,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,01,54680,65572,1028244,988573,10267,15.995,7502,11.687,212385,70164,142221,7.098,21.484,133673,50823,82850,5.141,13.522,78712,7.962,27.044,5237,5313,27259
1978,02,7127,8438,107835,108129,1920,23.672,1266,15.608,35143,14262,20881,13.190,32.501,35629,17134,18495,15.846,32.951,-486,-0.449,65.002,827,833,8875
1978,04,40660,48980,705343,660831,9724,20.604,6153,13.038,192508,72870,119638,11.027,29.131,103188,43699,59489,6.613,15.615,89320,13.516,31.230,4302,4390,25580
1978,05,36580,41940,580104,556647,6971,16.996,5121,12.486,116283,41749,74534,7.500,20.890,69225,26098,43127,4.688,12.436,47058,8.454,24.872,3854,3877,17042
1978,06,388398,467513,7362671,7014974,82149,18.108,54446,12.001,1728546,600696,1127850,8.563,24.641,1034639,415795,618844,5.927,14.749,693907,9.892,29.498,37517,38051,219297
1978,08,56022,65359,926756,871474,12646,20.052,8060,12.780,234318,81144,153174,9.311,26.888,123401,51164,72237,5.871,14.160,110917,12.728,28.320,5720,5795,29025
1978,09,56335,64264,1177234,1148500,7846,12.418,5678,8.987,196123,51728,144395,4.504,17.076,139097,42965,96132,3.741,12.111,57026,4.965,24.222,3966,3996,20239
1978,10,9914,11486,219966,216448,1484,13.091,1184,10.445,36658,9581,27077,4.426,16.936,29063,8620,20443,3.982,13.427,7595,3.509,26.855,814,826,4768
1978,11,13401,15349,316839,305468,2040,13.398,1794,11.782,66220,17114,49106,5.603,21.678,44549,17157,27392,5.617,14.584,21671,7.094,29.168,1117,1140,5915
1978,12,165147,197194,2663064,2542079,35787,18.673,24710,12.893,648017,240630,407387,9.466,25.492,405242,173043,232199,6.807,15.941,242775,9.550,31.883,17695,17982,99862
1978,13,82160,100269,1643370,1572161,15721,15.994,11774,11.978,348448,119616,228832,7.608,22.164,205364,80455,124909,5.117,13.063,143084,9.101,26.125,8043,8134,43085
1978,15,15767,18947,281371,271252,3043,16.491,2053,11.126,61369,24687,36682,9.101,22.624,41008,17229,23779,6.352,15.118,20361,7.506,30.236,1319,1338,7107
1978,16,17468,20226,240115,229932,3684,18.836,2348,12.005,58713,22333,36380,9.713,25.535,38593,14327,24266,6.231,16.785,20120,8.750,33.569,1666,1683,7910
1978,17,179188,209775,4061446,3962548,26975,13.019,21814,10.528,704536,212012,492524,5.350,17.780,505506,186659,318847,4.711,12.757,199030,5.023,25.514,14962,15212,86719
1978,18,81468,98010,1792181,1739453,12767,13.224,9840,10.192,301607,89109,212498,5.123,17.339,196727,66600,130127,3.829,11.310,104880,6.029,22.619,6680,6769,34232
1978,19,55872,65423,876782,848116,8542,13.259,6549,10.165,160540,52921,107619,6.240,18.929,102902,37174,65728,4.383,12.133,57638,6.796,24.266,4690,4740,22734
1978,20,46140,53879,714537,693363,7427,14.014,5664,10.687,140255,48418,91837,6.983,20.228,98081,38266,59815,5.519,14.146,42174,6.083,28.291,4007,4049,21948
1978,21,51487,60277,921493,890181,8691,14.648,6802,11.464,181581,59760,121821,6.713,20.398,119577,44307,75270,4.977,13.433,62004,6.965,26.866,4774,4836,22041
1978,22,61238,72771,1174001,1108692,11081,15.554,8027,11.267,281181,88809,192372,8.010,25.362,149967,55213,94754,4.980,13.526,131214,11.835,27.053,5709,5772,28298
1978,23,19833,22647,314212,302288,3346,15.111,2337,10.554,58387,19197,39190,6.351,19.315,34367,12465,21902,4.124,11.369,24020,7.946,22.738,1651,1669,7000
1978,24,59514,70978,1193806,1157313,9373,13.405,7256,10.378,228262,70766,157496,6.115,19.723,155081,59369,95712,5.130,13.400,73181,6.323,26.800,4758,4854,27267
1978,25,96003,111288,2073579,1997318,13071,11.880,10545,9.584,386719,110494,276225,5.532,19.362,234182,94931,139251,4.753,11.725,152537,7.637,23.450,6986,7109,39604
1978,26,127352,152301,2960760,2845616,20481,13.671,15509,10.352,545085,159593,385492,5.608,19.155,315163,136780,178383,4.807,11.075,229922,8.080,22.151,10383,10568,60619
1978,27,67986,80067,1376603,1306488,11079,14.136,7691,9.813,290722,81768,208954,6.259,22.252,151107,59400,91707,4.547,11.566,139615,10.686,23.132,5318,5394,27548
1978,28,35908,42062,608707,585050,6456,15.616,5019,12.140,124524,43206,81318,7.385,21.284,76917,30675,46242,5.243,13.147,47607,8.137,26.294,3512,3536,17162
1978,29,81195,96461,1583659,1522460,13726,14.443,10875,11.443,314047,97184,216863,6.383,20.628,191455,72491,118964,4.761,12.575,122592,8.052,25.151,7434,7577,37417
1978,30,17389,19829,198307,186868,3377,17.506,2300,11.923,51199,16894,34305,9.041,27.399,28203,13364,14839,7.152,15.093,22996,12.306,30.185,1642,1648,7432
1978,31,31277,36112,459822,448665,4602,12.911,3668,10.290,84095,27528,56567,6.136,18.743,61652,23757,37895,5.295,13.741,22443,5.002,27.482,2636,2685,13786
1978,32,14693,16670,289041,265623,3510,22.028,2038,12.790,81731,28790,52941,10.839,30.770,35019,16549,18470,6.230,13.184,46712,17.586,26.367,1419,1432,10590
1978,33,17626,19679,294283,278074,3093,16.189,1946,10.186,63203,24824,38379,8.927,22.729,31145,11710,19435,4.211,11.200,32058,11.529,22.401,1394,1424,6753
1978,34,129443,147200,2435533,2375707,19079,13.132,15243,10.492,454891,136419,318472,5.742,19.148,334257,140389,193868,5.909,14.070,120634,5.078,28.140,10250,10345,66117
1978,35,22404,25960,312199,295369,4897,19.428,3389,13.445,82188,29625,52563,10.030,27.826,48848,22896,25952,7.752,16.538,33340,11.288,33.076,2449,2468,15266
1978,36,313829,354784,5622295,5522127,43378,12.282,40154,11.370,993881,291632,702249,5.281,17.998,790042,314715,475327,5.699,14.307,203839,3.691,28.614,28719,29049,149070
1978,37,88862,107473,1877946,1811297,15615,14.831,11236,10.672,333741,104180,229561,5.752,18.426,199789,71433,128356,3.944,11.030,133952,7.395,22.060,7755,7823,34988
1978,38,13253,15036,157288,150154,2051,13.898,1494,10.124,33026,10554,22472,7.029,21.995,18756,7429,11327,4.948,12.491,14270,9.504,24.982,1073,1081,4983
1978,39,155785,193682,3644556,3544248,23931,12.524,18732,9.803,629817,171614,458203,4.842,17.770,429331,151933,277398,4.287,12.113,200486,5.657,24.227,12243,12440,63593
1978,40,52011,60463,800001,765855,9936,16.751,7639,12.879,182150,69790,112360,9.113,23.784,114337,45766,68571,5.976,14.929,67813,8.855,29.859,5679,5731,28109
1978,41,50134,58004,797370,743002,10559,18.882,6391,11.429,200006,67115,132891,9.033,26.919,91678,38200,53478,5.141,12.339,108328,14.580,24.678,4677,4711,23842
1978,42,177755,212489,3872342,3798671,24971,11.873,20618,9.804,673621,201034,472587,5.292,17.733,529339,212807,316532,5.602,13.935,144282,3.798,27.870,13491,13730,108684
1978,44,18114,20109,326647,315442,2448,12.334,1925,9.699,61988,19359,42629,6.137,19.651,39618,17023,22595,5.397,12.560,22370,7.092,25.119,1371,1378,7956
1978,45,44597,52951,927955,893235,8137,15.735,5660,10.945,168463,56445,112018,6.319,18.860,99441,36798,62643,4.120,11.133,69022,7.727,22.265,3942,3989,16682
1978,46,14270,16019,171583,161844,2290,14.577,1671,10.637,38175,12857,25318,7.944,23.588,18688,7589,11099,4.689,11.547,19487,12.041,23.094,1179,1185,4617
1978,47,67822,80745,1386102,1333516,12033,15.160,9286,11.699,276422,88775,187647,6.657,20.729,170588,70694,99894,5.301,12.792,105834,7.936,25.585,6432,6487,33127
1978,48,226949,278634,4427639,4209840,48499,17.891,33395,12.319,1073897,389811,684086,9.260,25.509,639871,261316,378555,6.207,15.199,434026,10.310,30.399,23333,23680,145237
1978,49,23313,26937,399727,374258,5022,19.346,3066,11.811,106034,40415,65619,10.799,28.332,55706,21508,34198,5.747,14.884,50328,13.447,29.769,2177,2209,12043
1978,50,10924,12110,158542,152111,1880,16.016,1137,9.686,33700,10760,22940,7.074,22.155,21298,10845,10453,7.130,14.002,12402,8.153,28.003,843,851,7973
1978,51,76561,92935,1500787,1445869,13601,14.963,9532,10.486,304422,98627,205795,6.821,21.055,195204,75296,119908,5.208,13.501,109218,7.554,27.002,6309,6404,34752
1978,53,71790,84155,1148722,1083009,15036,18.540,8924,11.004,275555,85670,189885,7.910,25.443,143348,57417,85931,5.302,13.236,132207,12.207,26.472,6266,6338,32978
1978,54,26630,31049,459189,456763,4099,13.325,3524,11.456,75693,24645,51048,5.396,16.572,70442,20893,49549,4.574,15.422,5251,1.150,30.844,2340,2364,10455
1978,55,79045,91352,1550824,1491104,11927,13.335,8109,9.066,271032,76694,194338,5.143,18.177,152152,55724,96428,3.737,10.204,118880,7.973,20.408,5639,5687,30469
1978,56,10475,11699,131779,120652,2308,20.530,1394,12.400,41753,15519,26234,12.863,34.606,19337,8170,11167,6.772,16.027,22416,18.579,32.054,979,991,4533
1979,01,56228,67501,1088895,1060190,9483,14.238,7685,11.539,215875,68297,147578,6.442,20.362,158362,54363,103999,5.128,14.937,57513,5.425,29.874,5572,5633,31577
1979,02,7330,8638,109325,108696,1651,19.318,1468,17.177,27226,10117,17109,9.308,25.048,26129,9428,16701,8.674,24.039,1097,1.009,48.077,950,960,5452
1979,04,42672,51555,797124,752677,9015,17.911,6567,13.048,194973,67584,127389,8.979,25.904,106488,41155,65333,5.468,14.148,88485,11.756,28.296,4756,4853,26550
