observation_date,Y022RC1A027NBEA
1949-01-01,0.021
1950-01-01,0.063
1951-01-01,0.137
1952-01-01,0.211
1953-01-01,0.276
1954-01-01,0.371
1955-01-01,0.480
1956-01-01,0.598
1957-01-01,0.665
1958-01-01,0.675
1959-01-01,0.763
1960-01-01,0.827
1961-01-01,0.875
1962-01-01,0.905
1963-01-01,0.969
1964-01-01,0.980
1965-01-01,1.171
1966-01-01,1.488
1967-01-01,1.373
1968-01-01,1.359
1969-01-01,1.485
1970-01-01,1.535
1971-01-01,1.546
1972-01-01,1.819
1973-01-01,1.761
1974-01-01,2.053
1975-01-01,2.127
1976-01-01,2.870
1977-01-01,3.437
1978-01-01,3.841
1979-01-01,4.477
1980-01-01,4.038
1981-01-01,5.546
1982-01-01,6.000
1983-01-01,7.042
1984-01-01,8.048
1985-01-01,8.768
1986-01-01,9.777
1987-01-01,9.266
1988-01-01,9.800
1989-01-01,10.362
1990-01-01,11.608
1991-01-01,11.643
1992-01-01,13.248
1993-01-01,12.844
1994-01-01,13.830
1995-01-01,15.601
1996-01-01,17.457
1997-01-01,18.234
1998-01-01,19.147
1999-01-01,20.372
2000-01-01,21.101
2001-01-01,21.077
2002-01-01,23.473
2003-01-01,25.878
2004-01-01,26.148
2005-01-01,30.505
2006-01-01,31.110
2007-01-01,30.415
2008-01-01,28.957
2009-01-01,29.110
2010-01-01,31.754
2011-01-01,33.056
2012-01-01,36.633
2013-01-01,37.023
2014-01-01,39.354
2015-01-01,42.027
2016-01-01,45.342
2017-01-01,47.702
2018-01-01,50.296
2019-01-01,51.050
2020-01-01,49.179
2021-01-01,49.537
2022-01-01,54.754
2023-01-01,56.284
2024-01-01,55.937
