year,n_respondents,total_shopping_min,grocery_min,discretionary_shopping_min,research_min,travel_to_shopping_min,computer_leisure_min,hh_financial_planning_min
2003,20720,24.07,6.32,17.15,0.111,14.55,7.85,7.76
2004,13973,24.37,6.21,17.65,0.019,14.77,9.40,8.20
2005,13038,24.39,6.35,17.52,0.056,14.53,8.65,8.61
2006,12943,24.20,6.03,17.72,0.045,14.56,8.54,7.42
2007,12248,23.62,5.71,17.51,0.058,14.31,8.41,8.34
2008,12723,22.80,5.88,16.41,0.103,14.38,8.50,7.48
2009,13133,22.56,6.37,15.72,0.141,14.01,9.86,7.88
2010,13260,22.29,6.24,15.60,0.073,13.73,11.82,7.31
2011,12479,22.18,6.44,15.32,0.046,13.46,13.17,7.21
2012,12443,21.15,5.52,15.24,0.066,13.59,12.65,7.54
2013,11385,22.04,6.36,15.27,0.089,13.93,12.54,7.68
2014,11592,21.50,6.82,14.20,0.023,13.28,13.62,6.73
2015,10905,21.68,6.07,15.21,0.049,14.27,11.30,7.85
2016,10493,21.47,6.04,14.99,0.069,14.76,10.17,8.17
2017,10223,20.76,6.45,13.81,0.073,13.79,11.36,7.63
2018,9593,20.00,6.38,13.18,0.075,13.76,10.85,8.14
2019,9435,20.79,6.05,14.20,0.041,13.78,10.76,8.69
2020,8782,17.32,5.91,10.84,0.053,12.28,13.20,7.93
2021,9087,18.96,5.98,12.42,0.062,12.61,13.08,8.42
2022,8136,18.81,5.97,12.41,0.042,12.67,11.96,8.29
2023,8548,18.42,6.21,11.76,0.108,12.74,11.98,7.84
2024,7669,18.16,6.37,11.27,0.216,12.78,12.06,8.91
